Dynamic Realty Enterprises,1072,27AALFD8596P1ZA,AALFD8596P,"Unit No. 10, Srishti Plaza Comp. Premises Chs., Lt, Saki Vihar Road, Powai,, Mumbai Suburban, Maharashtra, 400072","Unit No. 10, Srishti Plaza Comp. Premises Chs., Lt, Saki Vihar Road, Powai,, Mumbai Suburban, Maharashtra, 400072",998314,Maharashtra
Al Bari's Construction,1215,27ABLFA7928D1ZA,ABLFA7928D,"DZ City Sales Gallery, Bldg No. 123,, Mittal Ground, Opp, Amrut Nagar Mumbra,, Dist Thane 400 612 Maharashtra.","DZ City Sales Gallery, Bldg No. 123,, Mittal Ground, Opp, Amrut Nagar Mumbra,, Dist Thane 400 612 Maharashtra.",998314,Maharashtra
HV Ventures Projects Private Limited,1297,29AADCH5701K1ZH,AADCH5701K,"Unit No - 7, 8 & 9, Ground Floor, Raheja Chambers,, No. 12, Museum Road, Bangalore - 560 001.","Unit No - 7, 8 & 9, Ground Floor, Raheja Chambers,, No. 12, Museum Road, Bangalore - 560 001.",998314,Karnataka
Eldeco Sohna Projects Ltd.,953,06AAFCA9260N1ZA,AAFCA9260N,"Eldeco Accolade, Sohna Road,, Sector-2, Gurgaon,, Haryana – 122001.","Eldeco Accolade, Sohna Road,, Sector-2, Gurgaon,, Haryana – 122001.",998314,Haryana
Heritage Max Realtech Private Limited,926,06AADCH7172E1ZP,AADCH7172E,"10TH FLOOR, GLOBAL BUSINESS PARK,, M G ROAD, TOWER D, Gurugram,, Haryana, 122002.","10TH FLOOR, GLOBAL BUSINESS PARK,, M G ROAD, TOWER D, Gurugram,, Haryana, 122002.",998314,Haryana
JV Holding Pvt Ltd,1109,29AABCJ9763F1Z6,AABCJ9763F,"150, 1st Floor,, Embassy Point,, lnfantry, Road,, Bangalore, Bengaluru Urban,, Karnataka, 560001","150, 1st Floor,, Embassy Point,, lnfantry, Road,, Bangalore, Bengaluru Urban,, Karnataka, 560001",998314,Karnataka
Tatva Spacetek LLP,1084,27AASFT1305P1ZM,AASFT1305P,"Office No. 503, Sr No. 270/1/23, Fifth Floor,, Deron Heights, Opp Mahabaleshwar Hotel,, Main Baner Road, Pune, Pune, Maharashtra, 411045","Office No. 503, Sr No. 270/1/23, Fifth Floor,, Deron Heights, Opp Mahabaleshwar Hotel,, Main Baner Road, Pune, Pune, Maharashtra, 411045",998314,Maharashtra
Yogesh Enterprises,1126,27ABEPB4335N1ZN,ABEPB4335N,"12, Gandharv Nagari, Shopping Complex,, Pune Nashik Highway, Moshi, Pune,, Maharashtra, 412105.","12, Gandharv Nagari, Shopping Complex,, Pune Nashik Highway, Moshi, Pune,, Maharashtra, 412105.",998314,Maharashtra
Fortune Projects,966,Unregistered,AABFF1113A,"The Fortune Group #67 Queens Road,, Bangalore - 560 051","The Fortune Group #67 Queens Road,, Bangalore - 560 051",998314,Karnataka
Axon Development Llp,1173,06ABVFA6536B1ZE,ABVFA6536B,"OFFICE 201A, GLOBAL FOYER, SECTOR 43,, GOLF COURSE ROAD, GURGAON,, Gurugram, Haryana, 122002.","OFFICE 201A, GLOBAL FOYER, SECTOR 43,, GOLF COURSE ROAD, GURGAON,, Gurugram, Haryana, 122002.",998314,Haryana
Aristocrat Housing Agency,1327,Unregistered,AAJPS8521P,"Unit No. 2, Ratandeep, Next To Shoppers Stop, S V Road, Andheri West, Mumbai 400058","Unit No. 2, Ratandeep, Next To Shoppers Stop, S V Road, Andheri West, Mumbai 400058",998314,Maharashtra
Gls Infraprojects Private Limited,1249,06AAFCG4795C1ZL,AAFCG4795C,"707, 7Th Floor, Jmd Pacific Square, Sector-15, Part-2, Gurgaon, Gurugram, Haryana, 122001","707, 7Th Floor, Jmd Pacific Square, Sector-15, Part-2, Gurgaon, Gurugram, Haryana, 122001",998314,Haryana
Saptagiri Maharshi Builders,1166,29ABCFS0498M1ZJ,ABCFS0498M,"B 1, Saptagiri Maharshi Nilayam Apts., 18, 7Th Cross,, I Main ,Ii Stage, Micheal Palya, Indiranagar, Banagalore, Bengaluru Urban, Karnataka, 560038","B 1, Saptagiri Maharshi Nilayam Apts., 18, 7Th Cross,, I Main ,Ii Stage, Micheal Palya, Indiranagar, Banagalore, Bengaluru Urban, Karnataka, 560038",998314,Karnataka
Jem realtors,1281,27AANFJ1233F1ZJ,AANFJ1233F,"Shop No-06, Ground Floor, Jamali Hall Bohra Colony,, Achole Road, Nallasopara East, Palghar, Maharashtra, 401209","Shop No-06, Ground Floor, Jamali Hall Bohra Colony,, Achole Road, Nallasopara East, Palghar, Maharashtra, 401209",998314,Maharashtra
Housso,821,Unregistered,AALFH0649B,"Prime Honeydew Apartment Flat No 303,, Next to Chaya Hospital Kasturi Nagar, Bengaluru. Karnataka 560043","Prime Honeydew Apartment Flat No 303,, Next to Chaya Hospital Kasturi Nagar, Bengaluru. Karnataka 560043",998314,Karnataka
Haware Builders Private Limited,92,Unregistered,AAFCH8306L,"1503 Haware Infotech Park, Plot No.39/3, Sector 30/, Vashi, Navi Mumbai Thane- 400703","1503 Haware Infotech Park, Plot No.39/3, Sector 30/, Vashi, Navi Mumbai Thane- 400703",998314,Maharashtra
Rajshekar Developer Private Limited,1301,29AAKCR4944B1Z8,AAKCR4944B,"8, 2Nd Floor, Sri Sai Arced, 12Th Cross, Ideal Home Township, Rajarajeshwari Nagar, Bengaluru Urban, Karnataka, 560098","8, 2Nd Floor, Sri Sai Arced, 12Th Cross, Ideal Home Township, Rajarajeshwari Nagar, Bengaluru Urban, Karnataka, 560098",998314,Karnataka
Lakepoint Builders Pvt Ltd,1138,29AABCL1370J1ZG,AABCL1370J,"757/B, 100 Feet Road, Hal 2Nd Stage,, Indiranagar, Bengaluru Urban,, Karnataka, 560038","757/B, 100 Feet Road, Hal 2Nd Stage,, Indiranagar, Bengaluru Urban,, Karnataka, 560038",998314,Karnataka
Hoysala Projects Private Limited,1210,29AABCH6030K1ZJ,AABCH6030K,"No 104, Ground floor, Infantry Techno Park,, opp to gem plaza, Infantry road,, Bangalore-560001.","No 104, Ground floor, Infantry Techno Park,, opp to gem plaza, Infantry road,, Bangalore-560001.",998314,Karnataka
