Story Transaction Id,Top Up Dropdown,Edited Remarks
1756,Others,Recharged based on approval
1755,First Wallet Recharge,
1754,Others,Recharged based on approval
1753,First Wallet Recharge,
1752,Others,Recharged Based On Approval
1751,Others,Recharged based on approval
1750,Others,Recharged based on approval - Correction
1749,First Wallet Recharge,
1748,Others,Recharged based on approval
1747,First Wallet Recharge,
1746,Others,Recharged based on approval
1745,First Wallet Recharge,
1744,Others,Recharged based on approval
1743,First Wallet Recharge,
1742,First Wallet Recharge,
1741,First Wallet Recharge,
1740,First Wallet Recharge,
1739,Others,Reversal
1738,Others,Differential amt needs to be reversal..
1737,Others,Recharged based on approval
1736,First Wallet Recharge,
1735,First Wallet Recharge,
1734,Others,Recharged based on approval
1733,Others,25K Transferred to Platina
1732,First Wallet Recharge,
1731,Others,Recharged based on approval
1730,Others,Recharged based on approval
1729,First Wallet Recharge,
1728,First Wallet Recharge,
1727,First Wallet Recharge,
1726,Others,Recharged based on approval
1725,First Wallet Recharge,
1724,Others,Recharged based on approval
1723,Others,Recharged Based On Approval
1722,First Wallet Recharge,
1721,Others,Recharged based on approval
1720,First Wallet Recharge,
1719,First Wallet Recharge,
1718,First Wallet Recharge,
1717,Others,Recharged based on approval
1716,Others,Recharged based on approval
1715,Top-up by Developer,
1714,Others,Recharged based on approval
1713,Others,Recharged based on approval
1712,First Wallet Recharge,
1711,First Wallet Recharge,
1710,Others,Recharged based on approval
1709,First Wallet Recharge,
1708,Others,Recharged based on approval
1707,Top-up by Developer,
1706,First Wallet Recharge,
1705,Others,Recharged based on approval
1704,First Wallet Recharge,
1703,Others,Top up based on approval..
1702,First Wallet Recharge,
1701,Others,Recharged based on approval
1700,Others,Recharged based on approval
1699,Others,Recharged based on approval
1698,First Wallet Recharge,
1697,Others,Recharged based on approval
1696,Others,71400 equally transfer to Poonam Imperia & Majestic Meodows
1695,Others,Recharged Based On Approval
1694,First Wallet Recharge,
1693,First Wallet Recharge,
1692,First Wallet Recharge,
1691,Others,Recharged based on approval
1690,First Wallet Recharge,
1689,Others,Recharged based on approval
1688,First Wallet Recharge,
1687,Others,Recharged based on approval
1686,First Wallet Recharge,
1685,Others,Recharged based on approval
1684,First Wallet Recharge,
1683,Others,Recharged based on approval
1682,First Wallet Recharge,
1681,Others,Recharged based on approval
1680,Others,Recharged based on approval
1679,Others,35.7 Transferred from Aditya Plaza
1678,First Wallet Recharge,
1677,First Wallet Recharge,
1676,Others,Recharged based on approval
1675,First Wallet Recharge,
1674,Others,Recharged based on approval
1673,Others,Recharged based on approval
1672,First Wallet Recharge,
1671,Others,Recharged Based On Approval
1670,Others,Recharged based on approval
1669,First Wallet Recharge,
1668,Others,Recharged Based On Approval
1667,Others,Recharged based on approval
1666,First Wallet Recharge,
1665,Others,Recharged based on approval
1664,First Wallet Recharge,
1663,First Wallet Recharge,
1662,First Wallet Recharge,
1661,Others,Recharged based on approval
1660,Others,Transfer to Shubham
1659,Others,Recharged based on approval
1658,First Wallet Recharge,
1657,First Wallet Recharge,
1656,Others,Recharged based on approval
1655,First Wallet Recharge,
1654,First Wallet Recharge,
1653,Others,Recharged based on approval
1652,First Wallet Recharge,
1651,First Wallet Recharge,
1650,Others,Recharged based on approval
1649,First Wallet Recharge,
1648,Others,Recharged Based On Approval
1647,Others,Recharged based on approval
1646,First Wallet Recharge,
1645,Others,3L Outstanding
1644,Others,Recharged based on approval
1643,First Wallet Recharge,
1642,First Wallet Recharge,
1641,First Wallet Recharge,
1640,First Wallet Recharge,
1639,First Wallet Recharge,
1638,First Wallet Recharge,
1637,Others,Recharged based on approval
1636,Others,Recharged based on approval
1635,First Wallet Recharge,
1634,Others,Recharged based on approval
1633,First Wallet Recharge,
1632,Others,Recharged based on approval
1631,Others,Recharged based on approval
1630,First Wallet Recharge,
1629,Others,Recharged based on approval
1628,First Wallet Recharge,
1627,First Wallet Recharge,
1626,Others,Recharged Based On Approval
1625,Others,Recharged based on approval
1624,First Wallet Recharge,
1623,Others,Recharged based on approval
1622,Others,Recharged based on approval
1621,Others,Recharged based on approval
1620,Others,1L Transferred to 19North
1619,First Wallet Recharge,
1618,Others,Recharged Based On Approval
1617,Others,Recharged based on approval
1616,First Wallet Recharge,
1615,Others,Outstanding
1614,First Wallet Recharge,
1613,Others,Recharged based on approval
1612,Others,83300 Transferred to Aurigae residency
1611,Others,3400 Transferred to Peak 25
1610,Others,98.30 Transferred to central park
1609,Others,recharged based on approval
1608,First Wallet Recharge,
1607,Others,Recharged based on approval
1606,Others,Recharged based on approvla
1605,First Wallet Recharge,
1604,First Wallet Recharge,
1603,Others,Top Up Based on approval..
1602,Others,Recharged based on approval
1601,Others,Recharged based on approval
1600,First Wallet Recharge,
1599,First Wallet Recharge,
1598,Others,Recharged based on approval
1597,First Wallet Recharge,
1596,Others,Recharged based on approval
1595,Others,Recharged based on approval
1594,First Wallet Recharge,
1593,Others,Recharged Based On Approval
1592,First Wallet Recharge,
1591,Others,1L Transferred to 8 Petals
1590,First Wallet Recharge,
1589,First Wallet Recharge,
1588,First Wallet Recharge,
1587,Others,Recharged based on approval
1586,Others,Excess Wallet
1585,Others,Recharged based on approval
1584,First Wallet Recharge,
1583,Others,Recharged based on approval
1582,First Wallet Recharge,
1581,First Wallet Recharge,
1580,First Wallet Recharge,
1579,Others,Recharged Based On Approval
1578,First Wallet Recharge,
1577,First Wallet Recharge,
1576,Others,Recharged based on approval
1575,First Wallet Recharge,
1574,Others,Recharged based on approval
1573,First Wallet Recharge,
1572,First Wallet Recharge,
1571,Others,Recharged based on approval
1570,First Wallet Recharge,
1569,Others,Recharged Based On Approval
1568,Others,Recharged based on approval
1567,First Wallet Recharge,
1566,Others,Recharged Based On Approval
1565,Others,Recharged based on approval
1564,First Wallet Recharge,
1563,Others,Recharged Based On Approval
1562,First Wallet Recharge,
1561,Others,Recharged Based On Approval
1560,Others,Recharged based on approval
1559,First Wallet Recharge,
1558,Others,Recharged based on approval
1557,Others,Recharged based on approval
1556,First Wallet Recharge,
1555,First Wallet Recharge,
1554,Others,Recharged based on approval
1553,Others,Recharged based on approval
1552,First Wallet Recharge,
1551,Others,Recharged based on approval
1550,First Wallet Recharge,
1549,First Wallet Recharge,
1548,Others,Recharged Based On Approval
1547,Others,Recharged based on approval
1546,First Wallet Recharge,
1545,Others,Recharged Based On Approval
1544,First Wallet Recharge,
1543,First Wallet Recharge,
1542,Others,Recharged based on approval
1541,First Wallet Recharge,
1540,Others,Recharged based on approval
1539,Others,Recharged based on approval
1538,Others,Recharged based on approval
1537,First Wallet Recharge,
1536,Others,Recharged based on approval
1535,Others,Recharged based on approval
1534,First Wallet Recharge,
1533,Others,250000 Outstanding
1532,Others,Recharged based on approval
1531,Others,Recharged based on approval
1530,Others,Recharged Based On Approval
1529,First Wallet Recharge,
1528,First Wallet Recharge,
1527,First Wallet Recharge,
1526,Others,Recharged based on approval
1525,First Wallet Recharge,
1524,Others,Recharged based on approval
1523,First Wallet Recharge,
1522,First Wallet Recharge,
1521,Others,Recharged based on approval
1520,Others,Recharged based on approval
1519,Others,Transfer to Wildwood
1518,First Wallet Recharge,
1517,First Wallet Recharge,
1516,First Wallet Recharge,
1515,Others,Recharged based on approval
1514,Others,Recharged based on approval
1513,Others,Recharged based on approval
1512,Others,Recharged based on approval
1511,First Wallet Recharge,
1510,Others,Recharged based on approval
1509,First Wallet Recharge,
1508,Others,Recharged based on approval
1507,First Wallet Recharge,
1506,First Wallet Recharge,
1505,Others,Recharged based on approval
1504,First Wallet Recharge,
1503,First Wallet Recharge,
1502,First Wallet Recharge,
1501,Others,Recharged based on approval
1500,First Wallet Recharge,
1499,Others,Recharged based on approval
1498,First Wallet Recharge,
1497,First Wallet Recharge,
1496,Others,Recharged based on approval
1495,First Wallet Recharge,
1494,Others,Recharged based on approval
1493,First Wallet Recharge,
1492,Others,Recharged based on approval
1491,First Wallet Recharge,
1490,Others,Recharged based on approval
1489,Others,Recharged based on approval
1488,First Wallet Recharge,
1487,First Wallet Recharge,
1486,Others,Recharged based on approval
1485,First Wallet Recharge,
1484,Others,Recharged Based On Approval
1483,Others,Recharged based on approval
1482,First Wallet Recharge,
1481,First Wallet Recharge,
1480,Others,Recharged based on approval
1479,Others,Recharged based on approval
1478,Others,Recharged based on approval
1477,Others,Recharged based on approval
1476,First Wallet Recharge,
1475,First Wallet Recharge,
1474,Others,Recharged Based On Approval
1473,Others,Recharged based on approval
1472,First Wallet Recharge,
1471,First Wallet Recharge,
1470,Others,Recharged Based On Approval
1469,First Wallet Recharge,
1468,Others,Recharged based on approval
1467,First Wallet Recharge,
1466,Others,Recharged based on approval
1465,First Wallet Recharge,
1464,Others,Recharged based on approval
1463,Others,Recharged based on approval
1462,First Wallet Recharge,
1461,First Wallet Recharge,
1460,First Wallet Recharge,
1459,First Wallet Recharge,
1458,Top-up by Developer,
1457,First Wallet Recharge,
1456,Others,Recharged based on approval
1455,Others,Recharged based on approval
1454,First Wallet Recharge,
1453,First Wallet Recharge,
1452,Top-up by Developer,
1451,Others,Recharged based on approval
1450,First Wallet Recharge,
1449,First Wallet Recharge,
1448,Others,Recharged based on approval
1447,Top-up by Developer,
1446,Top-up by Developer,
1445,Top-up by Developer,
1444,Others,Recharged based on approval
1443,Top-up by Developer,
1442,First Wallet Recharge,
1441,First Wallet Recharge,
1440,Others,Recharged based on approval
1439,Top-up by Developer,
1438,First Wallet Recharge,
1437,Others,Recharged based on approval
1436,First Wallet Recharge,
1435,Others,Recharged based on approval
1434,First Wallet Recharge,
1433,Top-up by Developer,
1432,Top-up by Developer,
1431,Others,Recharged based on approval
1430,Others,Recharged based on approval
1429,First Wallet Recharge,
1428,First Wallet Recharge,
1427,First Wallet Recharge,
1426,Others,Top up based on approval..
1425,First Wallet Recharge,
1424,Others,Recharged based on approval
1423,First Wallet Recharge,
1422,First Wallet Recharge,
1421,First Wallet Recharge,
1420,Others,Recharged based on approval
1419,First Wallet Recharge,
1418,Others,Recharged based on approval
1417,Others,Recharged based on approval
1416,Top-up by Developer,
1415,First Wallet Recharge,
1414,Others,Recharged Based On Approval
1413,Others,Recharged based on approval
1412,First Wallet Recharge,
1411,First Wallet Recharge,
1410,Others,39K Transferred from Dinaco Darshan
1409,Others,Recharged based on approval
1408,First Wallet Recharge,
1407,Others,39K Transfer to Goyal Amrut
1406,Others,By Mistake
1405,Others,39K Transfer to Goyal amrut
1404,First Wallet Recharge,
1403,Others,Recharged based on approval
1402,Others,Top up based on approval..
1401,Others,Transferred to Swaroop Residency..
1400,Others,Payment Outstanding
1399,Others,Recharged based on approval
1398,Others,Recharged based on approval
1397,Others,Recharged based on approval
1396,First Wallet Recharge,
1395,First Wallet Recharge,
1394,Others,Recharged based on approval
1393,Others,Recharged Based On Approval
1392,First Wallet Recharge,
1391,Others,Recharged Based On Approval
1390,Others,Recharged based on approval
1389,First Wallet Recharge,
1388,First Wallet Recharge,
1387,Others,Recharged based on approval
1386,First Wallet Recharge,
1385,Others,Recharged based on approval
1384,First Wallet Recharge,
1383,First Wallet Recharge,
1382,Others,Recharged based on approval
1381,Others,Recharged based on approval
1380,First Wallet Recharge,
1379,Top-up by Developer,
1378,Top-up by Developer,
1377,Others,Recharged based on approval
1376,First Wallet Recharge,
1375,First Wallet Recharge,
1374,Top-up by Developer,
1373,First Wallet Recharge,
1372,Top-up by Developer,
1371,Top-up by Developer,
1370,First Wallet Recharge,
1369,First Wallet Recharge,
1368,Others,Recharged based on approval
1367,First Wallet Recharge,
1366,First Wallet Recharge,
1365,Others,Recharged based on approval
1364,Others,Recharged based on approval
1363,Others,Recharged based on approval
1362,Others,Recharged based on approval
1361,First Wallet Recharge,
1360,First Wallet Recharge,
1359,First Wallet Recharge,
1358,First Wallet Recharge,
1357,First Wallet Recharge,
1356,First Wallet Recharge,
