id,uuid,name,developer_name,city,published,sv_rewards_enabled,created_at,Youtube Link,
,14ac8514-96b7-11ec-bdf4-d7998d7daa73,Kohinoor Eden - Kalyan East,Kohinoor Group,Mumbai,TRUE,Active,26 Feb 2022,,
,2e28f760-9870-11ec-9fdd-87bec7d4915a,Sanskruti's Meander - Wagholi,Sanskruti Lifespaces,Pune,TRUE,Active,28 Feb 2022,,
,a456d35a-996d-11ec-ab5d-17321932564b,Celestial City phase 2 - Ravet,Rama group,Pune,TRUE,Active,1 Mar 2022,,
,c84fbffe-993d-11ec-ad46-33885d3e8fad,Peak 25 - Vikhroli East,Vaibhavlaxmi Developers,Mumbai,TRUE,Inactive,1 Mar 2022,,
,f7f3b214-9ace-11ec-842a-73416f7712fb,Pratima Gold - Taloza,Siddhivinayak Homes,Mumbai,TRUE,Inactive,3 Mar 2022,,Need full video
,68ef343a-9ab0-11ec-a4d7-53459295f433,The Space - Kharadi,M S Associates,Pune,TRUE,Active,3 Mar 2022,,
,5b55a782-9c4f-11ec-aa7a-8faa9f25d4d2,S.M Hitech Tulip - Taloja,S. M Hitech Developers,Mumbai,TRUE,Inactive,5 Mar 2022,,
,d0a07594-9c45-11ec-b0c5-4bdc35667f19,Royale Herritage - Off Juhu Circle,Yogi Build Corporation ,Mumbai,TRUE,Active,5 Mar 2022,,
,0fb88778-9c3a-11ec-9ff0-578492d48863,The curve - Santacruz West,Krishna Minerals,Mumbai,TRUE,Active,5 Mar 2022,,
,1758b40a-9d0f-11ec-adb0-6f3c6bff972f,SBB Sapphire - Whitefield,Sree Balaji Builders,Bengaluru,TRUE,Active,6 Mar 2022,,
,10cf2950-9e15-11ec-be4b-0312ea0e9905,Precious Meadows - Ulhasnagar,Precious Group,Mumbai,TRUE,Inactive,7 Mar 2022,,
,21e704f4-9edf-11ec-9af1-bf7758a7e712,Puram-Prayeja City - Vadgaon Budruk,Prayeja Developers,Pune,TRUE,Inactive,8 Mar 2022,,
,380703fa-9fad-11ec-9ebb-4f7f242dedea,Shades - Mundhwa,Suvan Developers,Pune,TRUE,Active,9 Mar 2022,,
,1c3cbde6-9f70-11ec-9d2a-3bc7ea6743d2,Ambika Brickwell LLP - Bhiwandi,Karnani Group Of Companies,Mumbai,TRUE,Inactive,9 Mar 2022,,
,2ba616c2-a053-11ec-85dd-1324edbbde1b,Viceroy - Chembur East,A Lalit Dharmani Project,Mumbai,TRUE,Active,10 Mar 2022,,
,afa50d58-a04d-11ec-85d0-4bff8c5ccd88,Continental Heights - Mazgaon,Sarah housing development pvt ltd,Mumbai,TRUE,Active,10 Mar 2022,,
,055ee47e-a041-11ec-9087-c7fb6c98369b,Tulsi Elanza - Chembur,Metro Group,Mumbai,TRUE,Active,10 Mar 2022,,
,ac6ec3c6-a12a-11ec-ad7b-f32a08fcf8ec,The Morning - Neral,Signature Group,Mumbai,TRUE,Active,11 Mar 2022,,
,98412446-a0fa-11ec-8e7b-a3b1bd64c32b,Dreams Rakshak - Wagholi,Dreams Landmark,Pune,TRUE,Active,11 Mar 2022,,
,de633c9e-a0f4-11ec-8a43-4fb1ce76e206,Sowparnika Unnathi -  Anekal Taluk,Sowparnika Projects And Infrastructure Pvt. Ltd.,Bengaluru,TRUE,Active,11 Mar 2022,,
,007404e8-a0f1-11ec-8a36-ab85b15a94c7,Shanta Durga - Dadar East,Lakshmi Builders & Developers,Mumbai,TRUE,Inactive,11 Mar 2022,,
,a2e327bc-a0ed-11ec-9ace-eba2d08c30fb,OMKAR - Andheri West,Lakshmi Builders & Developers,Mumbai,TRUE,Inactive,11 Mar 2022,,
,ed227370-a0eb-11ec-b8d1-a706aa1ac4df,Saraswati Sadan - Vile Parle East,Lakshmi Builders & Developers,Mumbai,TRUE,Active,11 Mar 2022,,
,f1782482-a222-11ec-99a1-37d56b3bba2b,Mahaveer Edenfield - Electronic City		,"Mahaveer group M/s Reddy Structures Pvt Ltd""",Bengaluru,TRUE,Active,12 Mar 2022,,
,b5c942b0-a21b-11ec-b173-8bdab1a9cd0d,Carmel Heights by Incor - HSR Layout,Incor infrastructure pvt ltd,Bengaluru,TRUE,Inactive,12 Mar 2022,,
,6cd288fc-a214-11ec-8634-ef0837e6633d,Kumar Palaash - Wadgaonsheri,Kumar Properties,Pune,TRUE,Inactive,12 Mar 2022,,
