Story_transaction_id,Story Id,Top Up Amount,Done By,Top Up Date,Story Name,Remarks,rid
831,933,100000,Vaibhav Shinde,2022-05-27 0:00:00,Empire Centrum Residential - Ambernath,First Wallet Recharge,1
830,932,100000,Vaibhav Shinde,2022-05-27 0:00:00,CD GuruDev - Virar West,First Wallet Recharge,1
2481,931,29700,Abigale Cardoz ,2022-09-03 0:00:00,Arihant Aspire - Panvel,Others - Based on Approval,3
1662,931,15900,Abigale Cardoz ,2022-08-02 0:00:00,Arihant Aspire - Panvel,Others - Based on Approval,2
863,931,100000,Vaibhav Shinde,2022-06-02 0:00:00,Arihant Aspire - Panvel,First Wallet Recharge,1
1583,926,300000,Abigale Cardoz ,2022-07-30 0:00:00,Elevate - Sector 59,First Wallet Recharge,1
2765,925,15300,Abigale Cardoz ,2022-09-06 0:00:00,Om Sai Home - Bhiwandi,Others - Based on Approval,5
1922,925,6300,Abigale Cardoz ,2022-08-03 0:00:00,Om Sai Home - Bhiwandi,Others - Based on Approval,4
1186,925,3000,Vaibhav Shinde,2022-06-28 0:00:00,Om Sai Home - Bhiwandi,Others - Based on Approval,3
1005,925,100000,Vaibhav Shinde,2022-06-16 0:00:00,Om Sai Home - Bhiwandi,Top-up by Developer,2
828,925,100000,Vaibhav Shinde,2022-05-26 0:00:00,Om Sai Home - Bhiwandi,First Wallet Recharge,1
2904,924,6300,Abigale Cardoz ,2022-09-06 0:00:00,Shivaalik park - New Bhiwandi,Others - Based on Approval,4
2054,924,6900,Abigale Cardoz ,2022-08-04 0:00:00,Shivaalik park - New Bhiwandi,Others - Based on Approval,3
1200,924,7500,Vaibhav Shinde,2022-06-28 0:00:00,Shivaalik park - New Bhiwandi,Others - Based on Approval,2
920,924,150000,Vaibhav Shinde,2022-06-04 0:00:00,Shivaalik park - New Bhiwandi,First Wallet Recharge,1
2684,923,1200,Abigale Cardoz ,2022-09-05 0:00:00,Laaman Industrial Park  - Thane,Others - Based on Approval,3
1852,923,300,Abigale Cardoz ,2022-08-03 0:00:00,Laaman Industrial Park  - Thane,Others - Based on Approval,2
827,923,100000,Vaibhav Shinde,2022-05-26 0:00:00,Laaman Industrial Park  - Thane,First Wallet Recharge,1
826,922,100000,Vaibhav Shinde,2022-05-26 0:00:00,Jagdale Avesa - Thane West,First Wallet Recharge,1
1588,921,250000,Vaibhav Shinde,2022-07-30 0:00:00,Sky City - Virar West,Top-up by Developer,3
1286,921,40000,Abigale Cardoz ,2022-06-30 0:00:00,Sky City - Virar West,Others - Based on Approval,2
841,921,250000,Vaibhav Shinde,2022-05-28 0:00:00,Sky City - Virar West,First Wallet Recharge,1
2631,920,2700,Abigale Cardoz ,2022-09-04 0:00:00,Hermes Paras 3 - Kalyani Nagar,Others - Based on Approval,3
1803,920,2100,Abigale Cardoz ,2022-08-03 0:00:00,Hermes Paras 3 - Kalyani Nagar,Others - Based on Approval,2
825,920,100000,Vaibhav Shinde,2022-05-26 0:00:00,Hermes Paras 3 - Kalyani Nagar,First Wallet Recharge,1
3021,919,27000,Abigale Cardoz ,2022-09-06 0:00:00,The Residency - Andheri West,Others - Based on Approval,5
2267,919,18000,Vaibhav Shinde,2022-08-16 0:00:00,The Residency - Andheri West,Top up By Developer - Recharged based on approval,4
2125,919,23000,Abigale Cardoz ,2022-08-04 0:00:00,The Residency - Andheri West,Others - Based on Approval,3
1555,919,1000,Vaibhav Shinde,2022-07-26 0:00:00,The Residency - Andheri West,Top up By Developer - Top up based on approval..,2
824,919,100000,Vaibhav Shinde,2022-05-26 0:00:00,The Residency - Andheri West,First Wallet Recharge,1
2542,918,8100,Abigale Cardoz ,2022-09-03 0:00:00,Divine Heights - Diva East,Others - Based on Approval,3
1724,918,6000,Abigale Cardoz ,2022-08-03 0:00:00,Divine Heights - Diva East,Others - Based on Approval,2
839,918,100000,Vaibhav Shinde,2022-05-28 0:00:00,Divine Heights - Diva East,First Wallet Recharge,1
1635,917,1500,Abigale Cardoz ,2022-08-02 0:00:00,Aditya plaza - Malad West,Others - Based on Approval,4
1589,917,-71400,Vaibhav Shinde,2022-07-30 0:00:00,Aditya plaza - Malad West,Other - 71400 equally transfer to Poonam Imperia & Majestic Meodows,3
1070,917,900,Vaibhav Shinde,2022-06-26 0:00:00,Aditya plaza - Malad West,Others - Based on Approval,2
823,917,75000,Vaibhav Shinde,2022-05-25 0:00:00,Aditya plaza - Malad West,First Wallet Recharge,1
954,916,500000,Vaibhav Shinde,2022-06-09 0:00:00,Opulent Spire - Bannergetta Road,First Wallet Recharge,1
821,915,15000,Vaibhav Shinde,2022-05-24 0:00:00,Bay View - Versova,First Wallet Recharge,1
1821,914,300,Abigale Cardoz ,2022-08-03 0:00:00,Joy Legend - Bandra West,Others - Based on Approval,2
820,914,10000,Vaibhav Shinde,2022-05-24 0:00:00,Joy Legend - Bandra West,First Wallet Recharge,1
3008,913,900,Abigale Cardoz ,2022-09-06 0:00:00,Tharwani Solitaire - Kalyan,Others - Based on Approval,7
2417,913,-70000,Vaibhav Shinde,2022-09-02 0:00:00,Tharwani Solitaire - Kalyan,Other - 35K Each transferred to Ariana & Millennium,6
2416,913,-70000,Vaibhav Shinde,2022-09-02 0:00:00,Tharwani Solitaire - Kalyan,Other - Correction,5
2415,913,70000,Vaibhav Shinde,2022-09-02 0:00:00,Tharwani Solitaire - Kalyan,Top-up from Developer - 35k Each transferred to Ariana & Millennium,4
2414,913,-50000,Vaibhav Shinde,2022-09-02 0:00:00,Tharwani Solitaire - Kalyan,Other - Correction,3
2113,913,1500,Abigale Cardoz ,2022-08-04 0:00:00,Tharwani Solitaire - Kalyan,Others - Based on Approval,2
819,913,150000,Vaibhav Shinde,2022-05-24 0:00:00,Tharwani Solitaire - Kalyan,First Wallet Recharge,1
1210,912,40000,Vaibhav Shinde,2022-06-28 0:00:00,Yogi Belleza - Bhiwandi,Others - Based on Approval,2
817,912,590000,Vaibhav Shinde,2022-05-24 0:00:00,Yogi Belleza - Bhiwandi,First Wallet Recharge,1
2063,911,600,Abigale Cardoz ,2022-08-04 0:00:00,Siddartha Solitaire - Hosa Road,Others - Based on Approval,2
816,911,50000,Vaibhav Shinde,2022-05-24 0:00:00,Siddartha Solitaire - Hosa Road,First Wallet Recharge,1
2430,910,300,Abigale Cardoz ,2022-09-03 0:00:00,96 Tagore - Santacruz West,Others - Based on Approval,3
1296,910,900,Abigale Cardoz ,2022-06-30 0:00:00,96 Tagore - Santacruz West,Others - Based on Approval,2
815,910,50000,Vaibhav Shinde,2022-05-24 0:00:00,96 Tagore - Santacruz West,First Wallet Recharge,1
2707,909,300,Abigale Cardoz ,2022-09-05 0:00:00,Majestic Meadows - Virar,Others - Based on Approval,5
1875,909,300,Abigale Cardoz ,2022-08-03 0:00:00,Majestic Meadows - Virar,Others - Based on Approval,4
1592,909,35700,Vaibhav Shinde,2022-07-30 0:00:00,Majestic Meadows - Virar,Top up By Developer - 35.7 Transferred from Aditya Plaza,3
